star_rating,review_body
5,"As advertised. Everything works perfectly, I'm very happy with the camera. As a matter of fact I'm going to buy another one for my 2nd car."
5,it's great
5,These work great and fit my life proof case for the iPhone 6
4,Work very well but couldn't get used to not hearing anything out of the ear they v were plugged into.
2,"Be careful with these products, I have bought several of these cameras and the image is pretty decent but battery doesn't hold any charge!!!!"
3,"It appears to be good, but I'm still waiting for my other items radio,batteries,charger, before I can go to 4 or 5 stars"
3,"First one arrived as a brick.  Wouldn't work, wouldn't charge, useless.  Exchanged for a new one that works as advertised."
5,Worked great for vacation
4,"this is a very good item, it provide me the sound that i like.."
5,"I LOVE my recorder. Bought it obviously because I have tape cassette's with no way to play them.<br />Spent an AMAZING afternoon, listening to my Mom (who passed away in 2005), tell a 90 minute Christmas story of &#34;Nicholas&#34;,  to my two daughters, many moons ago.  It was a wonderful afternoon of laughter and tears.<br />I thank you, for providing me, the time to spend an afternoon with my Mom again... :)"
5,"Great sound great battery beach, work, park, anywhere battery lasts"
3,"If what you want is a continuous tone piezo - i.e. a &#34;beeper&#34; - then this one would get 5  or maybe 4 stars.  (Possibly dock one star because it's a bit quiet for the rated sound level.)  However, if what you wanted was the thing described in the listing - i.e. a *buzzer*, for example something that would make the sound you get if you answer incorrectly on a game show &#34;bzzzzt&#34; - then it's 3 stars at best.  This is the 3rd batch of &#34;buzzers&#34; I've ordered from different suppliers so this is not an isolated incident.  Anyone need some beepers, cheap?"
5,Love it
1,Sucks
2,u need to plug in both
5,Worked with MHD Flasher for Android.  Used to flash performance tunes to BMW 135i/335i N54 engines.
2,"Just arrived,  read instructions and attacked my #1 to key chain. Installed battery but for the life of me, was unable to CLOSE the cap. 100 times and still no go. #1 is out and apparently is broken. Tried #2 and did mange to close the cap. Have not tried #3 or #4 yet. Surely they can make a quality cover for the device. Thinking of returning the item and look for better quality battery cover. The font on the instructions are  too tiny to read, sure you can afford a larger print. No phone number or web address to contact for a replacement of #1. Hmmm...maybe you KNEW you had an inferior battery cover and  didn't care to deal with the complaints!"
5,I bought this unit as a replacement for my portable fish finder. Works great as did the original. I replaced it because the original was accidentally damaged.
4,"I am giving the speakers a test drive as I write this review. I am deeply impressed by the sound quality of this little box. The high end is really nice. The bass is somewhat lacking, but, I didn't expect room-shaking bass anyway. These are a keeper!!!"
5,Met my application needs very well.
5,This dash cam gives me life. I am an african american and anyone with a television knows that racial profiling of minorities is a huge problem in America. I got my dash cam to record my trips but I also use it to record any police stops. So far no stops. Yay me BUT I took the scenic route to the beach and pointed my camera at the ocean as I drove. Beautiful. The video is crystal clear and vivid. I like it so much my husband wants one too. I recieved this dash cam at a discount in exchange for an honest and unbiased review of how well it performed.
2,Scratchy when keyed up
5,Great
5,"This was a gift from a friend a year ago and I thought it would be just an average little speaker. For my surprise, this product is awesome, sounds great and I would definitely consider buy another one."
5,i love the sound of skar and in the right box these are louder than any PSI around.. i have had 1 10' skar vd in a ported box for a &#34;SINGLE CAB CHEVY&#34; and iv out beat many larger systems... its a great product and i will stay with skar before i go back to kickers
5,Can't go out with it!!!! best gadget for music lovers...
4,Was everything I expected
1,"I was excited to get this product because it looked versatile and cute and I thought I could take it with me on the road.  However, after receiving it and trying it out I was disappointed to say the least.  The volume button does not work at all.  It is really stiff and difficult to move manually.  The control works, but it is small and could get lost if one is not careful.  The capacity for sound is limited.  Also the cables to connect the speakers were flimsy and not working properly.  Overall very disappointed with this purchase.  I contacted amazon for return and found out that we are responsible for shipping costs with this seller. I Found out the cheapest UPS ground services to be after packaging close to $30.00! This is crazy to have to pay this for a defective product.  So save your money and headache and buy something else.  Trust me, I hate to give bad reviews, but this is a sound equipment that you should skip!"
5,"Outstanding, great price and I like the larger screen"
5,Nice little unit with great sound.  Built well and easy to use - great for travelling.  The hands-free phone feature is a nice plus.
5,Life savers
5,"Great range, about 30-50 feet, very clear, works with any audio input jack whether on an iPod, iPad, or computer monitor. Love it"
5,My family and I like it so.much it has a good sound and we can take it anywhere we want.
5,Works as advertised.  Pairs easily and re-pairs without effort.
4,"Good dashcam.  This is my second G1W-C.<br /><br />Likes: 1080p max resolution, rearview mirror mount, nice screen, no battery, affordable, free pen.<br /><br />Dislikes: loses time/date if car is parked for a few days (no battery, only capacitor), UI controls are tricky, free pen."
5,I just love this item. Thanks and plan to get more from this provider.
5,The big advantage that the Kobo has over the Kindle is that pubic libraries do not support Kindle.  You can not use a kindle to download books from your local library.
1,"First off, we need the operating band this is designed for.  It is not foldable or collapsable.  Also need the connector type.<br />You will not sell many of these without supplying more information."
5,"I bought this primarily to be used as a flashlight and it has worked out well over the last five weeks. I've run it for twenty hours continuously before deciding it was starting to dim. The nice thing about LEDs is the light stays white unlike a filament-type bulb. The light from this device is more than adequate when I'm out on a dark night. Then my phone charger replenishes it once it runs down. The flashlight switch does stick up just a little bit so it is possible for it to be inadvertently switched on (push-on/push-off) while in a pocket or pack.<br /><br />For recharging purposes, the battery capacity in this device is small. Although the battery capacity is spec'd at 2600 MaH, you will never get that amount into the device you are charging. The process of up-converting the charger's battery voltage (~3.7 vdc) to the USB standard (5 vdc) and back down to battery voltage (~3.7 vdc) in the device being charged results in some losses. A good budgetary figure is to plan on transferring 70% of the source battery capacity into the device being charged. So if your phone's battery is spec'd at 2500 MaH, you will need at least a 3600MaH battery in your charger to fully charge the phone's battery. This is true for all battery-driven chargers, not just this one. Or you can shop for a charger whose battery capacity is 150% of the device you need to fully charge - it's that simple."
3,I have another Bluetooth speaker from another maker and this one was very easy to use but the volume  up louder doesn't sound as good as the other one.
5,X x vc&#34;ccc
5,"Sounds awesome and works great, pioneer coming in clutch."
5,"This is my first Dashcam and I love it!  This was much smaller that I thought, but the smaller the better, can't be seen easily by others.  I live in the city, lots of cars, stop lights and traffic.  Though I have not had accident since having installed this, I have reviewed footage and image was super clear for daytime video and better that I expected, very clear night vision.  I can see how this dashcam can come in handy for so many instances that could happen.  It was easy to install, we used a silicone adhesive for that extra security.  I think this dashcam is a good buy and I think everyone should have one these days.  I was able to try this at a discount for my honest review."
5,The cord did it's job and locks into your ipod/phone pretty well. I am able to pull my ipod to me by the cord which is nice.
4,"Good product so far, it fits my Zune very well."
3,"Like all portable players, leaves much to be desired. Good for the battery usiness"
5,it is an excellent product easy to install worth the price
5,I am really enjoying this speaker. I was unsure if it was as good as some of the reviews gave it but I am very pleased with the sound quality and the value.
5,"Good, strong, and 6 feet long."
5,Big screen is nice once the store contacted me on how to have voice directions
5,"I bought this as a gift for a friend.  I loaded a bunch of songs on it before giving it to her.  It was easy to load and seemed really easy to use, too.  User friendly, I guess is the right term.  I have an MP3 player I bought elsewhere but this one looked a lot nicer than mine.  My friend loved her gift.  She thought I spent a lot of money on it but really, the price was very reasonable."
5,Exactly what I needed
1,Does not fit XL
3,"I'm not sure what the use case is for this device. A build-in, dash-mounted display is generally pretty well shielded from glare by virtue of its location. A GPS on top of the dashboard and closer to the windshield may suffer from glare problems, but this sunshade needs to be taped to the GPS to stay in place. Overall, I would say this is a solution in search of a problem, overpriced for what it actually does.<br /><br />Disclaimer: I received an evaluation unit in exchange for a fair and honest review."
2,"Purchased two of these based on a wide variety of reviews. The first one failed within a couple of hours of use, and the second one failed today.  The first one was replaced by Amazon and I haven't had a chance to use it much. This second one will simply be returned for a refund. The recording it made were excellent.  But what good does it do to have something that is unreliable?  Too bad."
5,Great product but long shipping.
2,The compass is not reliable.  I don't really know if it works
2,I was very disappointed! The charger will not charge my phone because it won't keep a charge. It very cheap looking and poor quality. It wasn't worth the money but you get what u pay for so I just went by to the Apple Store.
3,"Sometimes gets &#34;laggy&#34;. It was fron China which seller didn't indicate. I had lots of other products from China that had quality issues with electronics  overheating, shorting and just under performing. This unit didn't get hot and so far is working as advertised. My only concern because the app is a Chineese developed app, just don't know if the unit-app snoops my device. Have no way of knowing either:"
1,After plugging in my phone an alert came on saying &#34;this is not a legal device and will not charge your phone&#34;.  Hassle to return it but just beware to anyone thinking of buying it.
5,"Apple makes their charging products with inferior quality to profit off of loyal customers when they are forced to repurchase. Save your money here, these are exactly what I was looking for, made with excellent materials at the joints between the cable and plug-in. Well worth it, added length and color options are a plus."
2,"This thing doesn't stick to the wall. It takes forever to connect to my phone, but forget trying to have two different people using two different phones intermittently. Frankly, the sound quality isn't great either and my phone has better speaker and sound quality."
5,A gift so I cannot give much information about them. They look great and came on time though.
5,Love love love loved it
5,the unit fully met my expectations. Delivery was prompt.
1,"I feel that the DVR is working good but the battery inside is not good as short time, I bought this DVR and used only in 2 two days the battery dead.<br />and the cover out side has been coming out of the DVR. please make it better to get your market!!!"
3,"Stores a lot of music, it sounds good. It is very very difficult to maneuver the menus, not intuitive and the instructions are too minimal. It seems like all the features work, but being able to use them is a lot of work."
5,satisfied
5,Easy to use
3,"The speaker looks nice and was easy to set up. However, the description states it can be up to 30 ft away from your bluetooth device and it's really only about 10 ft or it constantly loses connection."
5,Very good. good  seller
1,EXCELENTE PRODUCTO
3,ok
5,Awesome product
5,Good Dashcam; gives nice clear video
5,Nice
3,Sounds great but still over priced
1,Two failed
4,Works great! Loud. Very impressed
5,Is everything I expected and then some
4,UNIT WORKS SIMILAR TO ONE IT IS REPLACING. THIS UNIT ONLY APPEARS TO HAVE A 100 WATT OUTUT. I CHECKED WITH MANUFACTURER THEY THOUGHT IT COULD BE MY VOLTMETER. ALL MY APPLIANCES WORK. THERE IS A HUM COMING FROM THIS UNIT AS WELL AS THE PREVIOUS ONE I HAD.
5,surprised it STILL works
5,My dad did like this case for his Nook I bought him.
1,"I've bought a lot of products on Amazon...like we purchase several times a week.  In most cases, we get what we expect.  I was skeptical in purchasing these and saw mixed reviews, but these guys claim to be &#34;Apple MFI Certified&#34; and are &#34;genuine&#34;.  Well...BUYER BEWARE!<br /><br />I purchases these in early July, one for each vehicle so we can keep our phones charged.  I bought them when I did because we were going to take a family trip and I wanted to have something in the car to keep devices charged on the go.  I received these two days before we left, but really didn't get to use them until the trip.  Then, just two days in to the trip, the pins on both sides turned black and the cable STOPPED working.  I'm not sure if I did something wrong, but other cables I've used in the same way (especially the one that came with my iPhone 5c) have worked WITHOUT ISSUE.  Needless to say, just two days in to our trip and we are down a cable, I was more than a bit peeved.<br /><br />If you purchase these from this seller, it is at your own risk and will be a complete gamble.  I highly recommend to keep looking and steer clear of these guys.  The worst part now, is that I have passed the one month window to return these because once back from my trip, I've had to deal with some work emergencies.  So I've basically just wasted my hard earned money on garbage, with no more option for refund."
1,Poor quality and low sound output for its size.  A real disappointment.
5,"I bought this Mount Holder for my iPad for the trip to Orlando and to stop holding my iPad with my hands all the time. The iPad Air, what I have, fits very well and feels very secure in this case and I love the idea of having my hands free, the material feels very resistant and keep it in the car that way I don't forget to pack it for any long ride or trip"
4,Very good quality. So far so good.
1,The worst quality. I only used it twice and its already done. Won't transmit the sound. I'm so mad... I keep my things nice and I'm careful with my my gadgets. I wasn't expecting it to preform so poorly... Very dissatisfied...
4,"good, I converted my idle speakers into bluetooth speakers where I can play songs from my phone."
4,"It was listed as having a remote-antenna jack, which it does not have. Otherwise, works well, with limited, indoor A/M reception."
4,"Thwy work great especially for the price. I mainly got these to use as an alternative for a baby monitor because of the vox setting. Thought was i could go around the house, the garage, the yard.  And still hear the little one. But the vox gain is not sensitive enough to hear her until she is really mad. Even after buying the cable and adjusting the vox gain to the max. So it didn't work for that.  But camping, sending them with the kids while there playing, and letting the kids just play with them. I got my money out of them."
1,Sorry to say this did not charge our i-pods at all. Darn.
4,"it came packed very well in two boxes. The radio looks new, but it is missing the antenna, I can use the one from my old radio. But it still works great"
5,"Very good unit put it in my wifes 2014 jeep , she loves it."
5,very good
5,"This Portable speaker was for a christmas present for my mom, she was looking for something small but at the same time with a good volume she is happy with it and I am happy too!"
5,This mount was a replacement for a previous RAM mount that broke. It fits and functions just as expected - very well !!
5,my daughter loves this case
4,"This rear view mirror is very decent for its price.  The video is clear and the mirror is fairly easy to install.  It has lots of features such as long battery life, motion sensor video mode, gps hook up (if you have your own) and plenty of options.  There are some issues though: (1) if you already have a large rear view mirror the placement of the camera lens may not allow you to position it correctly in your case; (2) the power cord is a bit shorter than other mirror cams that I own - barely reaches around the edges of my 07 Equinox; (3) basically no manual - and any English is a bit difficult to get - requires about 30 minutes of hunting and pecking through the menu and you will find it has lots of features;  (4) the screen is brighter than most but the coating on the reflective surface is a slightly different color than the screen really take some getting used if you look into your mirrors often; (5) has a super bright LED that blinks every other second.  During the night it lightens up my whole SUV - I put a sticker over it now it seems.  I have hooked up the included rear view cam, but looks pretty standard.  Overall though I am pretty pleased with this mirror and recommend that everyone have one if for nothing else other than an insurance policy."
1,"It made a loud train sound and I couldn't turn off, I tried everything. Also there's nowhere on the device to power my phone. This is a fake"
5,Thanks
5,This iPod works great!  I use it to swim laps and so far very happy with it!!!!
5,Works great
4,"Works pretty nicely, but the sound quality is between fair and poor."
3,"One dead on arrival, one working as intended."
5,"Works great, easy to install."
5,seems legit.cable is pretty thick handles power well and has a nice thick tuff jacket
5,Good product and good seller
1,Had to have the original purchase replaced and then had to send the replacement replaced as the batteries will not charge/hold a charge. Don't waste your time.
5,Excellent
1,"I have purchased it because I have seen a new product with a great review. I have paid $160 for similar looking camera for my wifes car which works great, so after seeing similar nice looking product with a great price I decided to try it. First it was working ok for a couple of days and was taking good quality hd video, then started turning off by itself. Sending back"
5,My iPhone recognized this cable and never told me it was not supported. It didn't overheat my phone and it charged it in a very reasonable pace. I have had it for 4 and a half months and it just last week when the white one started to damage but that happens with almost all iPhone chargers even the one that comes with the device. The black one still alright. I'm going to place another order now.
3,Quality ok but not great but price is good. Battery operated--no adaptor came with this player.
2,"Has weak reception using jvc head unit. I have this on another car using sony head unit, which seem to work better."
5,Excelente producto
4,Product received as advertised
3,Good looking unit. Sounds great. Easy install. Apps are run from phone and are all junk Imo. Be sure to buy the bypass if you arent hooking up the controll harness or it wont let you play any video if it cant tell you are in park. Still a very nice radio.
1,Its not two pieces buy only two channels you only get one despite the description saying the opposite
2,It is what it is. Pretty cheap player. I wouldn't recommend it. It was inexpensive though.
5,"I absolutely love this darn thing.  I looks great, it sounds great and it has an amazing battery life."
5,Perfect case! Love it
5,Like the bigger screen.
5,"[[VIDEOID:abde57fdd35925f99d6c2e46f2fdb21b]] See my video for my thoughts and opinions here.<br /><br />I had to find a car in which I could use this item...it worked rather well and was very easy to use. It slides into place VERY firmly as you will see in the video. Seems to snug up well when inserted and really doesn't look too bad when installed.<br /><br />Plenty of adjustability and easy to remove quickly if needed. Such a simple design not much else to say...hope the video helps.<br /><br />Review sample provided free or at a discounted price for a fair, unbiased, and honest review."
4,Product received as advertised
3,"It culd be better, but it is seems to be not well finished"
2,Not real handy to open
5,Bumps and holds my 15 &#34; Memphis mojo had it now for a few months and still holding strong.
5,good purchase
5,Unbelievably clear sound and great bass from a speaker that weighs less than a pound.
5,Great product!
5,good price and product.
4,good value
5,Works great. ..still using it everyday a year and a half later.
5,I liked it so much I bought a second one. The sound is great and it is easy to use.
5,"Very little capacity spread, but some self discharge. Using them to augment a marginal starting system on my 1975 Mercer boat. They dropped the starter response time from 500 mS to less than  250. Perfect!"
1,IPod nano doesn't work even after trying to charge several times with different USB cables. Returning product!
5,definitely notice the difference so does everybody else great buy perfect price excellent investment
4,Ok
5,Amazing for every game exempt gta5 because it's not well optimized but this can stream every game you want at high settings 40-50fps
2,Very flimsy. It doesn't work with new technology by just touching like an IPAD. You have to remember which one is the back button to go from example: Video to Music.
5,great
4,They charge my wife's phone
5,it play great and I use it ever day
5,Works great with good sound for its small size. Fills up a room!
1,Did not work. Dont Buy for Corolla
1,Piece of junk
5,I needed USB cords in lengths longer than 6ft. These fit my requirements perfectly.
5,I bought this a while ago and I think it's one of the best portable bluetooth speakers out there for the Amazon Price.  I like that it's not a rechargeable and uses regular batteries (so you can use rechargeable batteries if you choose) AND it has a plug.  The sound is loud and clear.
5,Great replacement.  No problems
5,The product is excillent.
3,Mic doesn't work clearly often
5,Works
5,This is a must have for single handed sailing. I simply can't believe much this product is needed. Can't live without it
5,It takes a while to charge and it only last for a little bit but when it lights up it looks really cool !!
5,both work great and are still working
5,brings me back to the old days
5,Works like a charm!
5,"I've ordered a ton of these white and black, long and short.  I keep buying them because they are made so well.  I need more to buy for the office, my car, the house...etc... awesome stuff!"
5,They work great.  Quite durable.  I would get them again.
5,This speaker works well and looked brand new. The sound is great and shipping was fast. I will be purchasing more products from Beach Camera on Amazon.
1,It broke less than a month. Don't buy them.
5,Very nice and compact and easy to install.
5,I've bought a total of 3 of these cables I've had the first for over a month and works great. Lasted longer than the ones I got from Apple. I needed one that worked with my lifeproof case and this does
3,"Does not auto shut off, loud but distorts at high volume, will be replacing with another speaker."
5,Product works as promised
5,"Just like the original but with style, helps us keep our keys separate for the two GMC products we own."
1,too small
5,"The best charging cables out there. I've tried cheaper ones and they always stop working. ive had these for a while now, and they work every time."
5,Works fine.
5,Just what I wanted.  Love the new cords
5,"Works great, and really fast delivery."
5,"Got it on Prime when it was only $5.99. Figured it was worth a shot for such a low price. Added it to an older A/V receiver and it is working as intended. Supplied cords were really short, and though it is supplied with a micro usb cable it is not supplied with an AC adapter for the cable. Pairing was simple, just plugged it in and my phone connected to it on the first try. Haven't tried the NFC functionality due to my phone's current rom having it disabled, but I'm sure it works fine. It works every bit as well as other bluetooth receivers I've purchased in the past for five times the price. I will probably purchase another one if this one continues working well."
5,very good thanks
4,"Quality of song good, only one problem with remote control, when cassete inside."
5,"Important: YOU HAVE TO HAVE A CD SLOT RIGHT ABOVE YOUR GPS FOR THIS TO WORK<br /><br />The Good:<br /><br />• It works 100% with a GPS system that has a CD slot on top<br />• Minimal design that fits right in<br />• Easy to remove/ install<br /><br />Thoughts:<br /><br />• There is a slight rattle when going over bumps<br />• The directions are awful but you can figure it out by the Amazon Pics<br /><br />The Bottom Line:<br /><br />Buy this if you have the right GPS set up as described above. It will keep the glare of your GPS screen…especially if you drive with the sunroof open.  Please note that I was able to test this product at a discount in order to provide you with an honest, unbiased review."
5,Good
5,Works great for my iPhone and IPad.  And much less expensive than Apple's products.
1,Don't buy it if your desktop is not compatible for windows 7
5,they work great!  haven't had any issues and i've had them for about 6 months.
5,amazing
5,Good product as advertised. Would have liked to be more obvious that the radio did not include a battery. But still happy with product.
5,"This cable works lightening-fast. As soon as I plug it into my iPhone, it recognizes the charger instantly and begins charging immediately. No need to wiggle the cable around the port to get it to fit properly or for the device to pick it up. I actually think it works better than the charger my iphone came with! I've had it for over a year now and the wire is still in excellent shape. No tears to the cable, like you often have with apple headphones or other chargers, plus the wire is still neat and clean hasn't really accumulated any dirt or smudges (I bought the white one so that says a lot). The cable also stays straight, i.e. it also doesn't tangle or twist into a knot that you need to untangle. Whether you're looking for a primary iphone charger or a secondary charging cable for your car or for traveling, this product gets the job done!<br /><br />Overall, a great item at a great price (no need to overpay at the Apple store). It works very well and still lasts and looks pretty much the same as the day I bought it. Well done with the manufacturing, definitely no knock-off experience here!"
1,"Easy to install, sounded great for about three weeks and then the AMP shorted out or something to blow the main fuse. Sent it back several weeks ago and when enquiring about its ETA they told me the end of September because they are on back order. With no service after the sale I will NEVER buy another Rockford Fosgate product!!!! Ridiculous..."
5,"It works for me!  I'm using it for my PS4 controller.  Why?  Cause the controller loses charge VERY quickly. It's common knowledge.<br />Can't go wrong with these cables. Just don't forget, if wireless is a promise, you'll be begging for wired in a heartbeat."
4,"Managed to pick this beauty up on sale for about $15. I was so impressed I ordered two more and gave them away as gifts. The sound is pretty darn good for such a small device and with a passive bass speaker on the back its' audio is quite stellar. The body is a mixture of silicone rubber and high density plastic, with metal grills on the front, and a rubber strap for carrying.<br /><br />Outdoors, it won't scare away the livestock or set off seismic activity sensors but is perfect for a tent or a small room. As an added bonus you can insert a micro hard drive on the back and play your music directly from that, so it technically qualifies as an MP3 player, albeit one with minimal controls. It doesn't have any IPX proofing, so I would try and keep it away from water. Having said that for $15, you can take this to the swimming pool and should it get soaked you won't feel like you got um, soaked."
4,Did the job
5,"As always, you get great quality and sound from BOSE ! Thank you Amazon"
5,Got my portable fan working again.
5,Great!
